Day,Archibald the Wise,Archiwise the Bald,Averill,Azeru,Boltholopew,Burova,Cayn,Danny Nova,Dankon Ground,Gnarck,Gouberi,Lomerius Xardus,Moon Finder,Nettie Silver,Penta Vasi,Ricewined,Tehami Darke,Yungreen,Zancro,Zeledin Zura
707,2,N/A,N/A,8,10,N/A,N/A,N/A,N/A,N/A,N/A,6,10,8,N/A,N/A,6,N/A,N/A,4
708,3,5,N/A,N/A,N/A,N/A,9,4,7,N/A,N/A,6,6,7,N/A,N/A,6,N/A,N/A,4
709,3,5,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,5,11,6,N/A,N/A,9,N/A,10,4
710,3,7,N/A,11,N/A,N/A,N/A,3,N/A,N/A,N/A,6,10,4,N/A,N/A,9,N/A,N/A,4
711,4,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,11,10,N/A,N/A,6,N/A,N/A,4
712,3,7,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,3,N/A,N/A,6,N/A,N/A,4
713,3,5,N/A,2,10,N/A,N/A,N/A,10,N/A,N/A,6,10,11,N/A,N/A,6,N/A,N/A,4
714,3,N/A,N/A,3,10,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,7,N/A,N/A,6,N/A,N/A,4
715,3,N/A,N/A,4,11,N/A,N/A,10,N/A,N/A,N/A,6,8,6,N/A,N/A,7,N/A,N/A,4
716,3,7,N/A,N/A,N/A,N/A,5,1,N/A,N/A,N/A,6,8,11,N/A,N/A,6,N/A,2,4
717,7,5,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,6,N/A,2,N/A,N/A,8,N/A,N/A,4
718,6,5,4,7,N/A,N/A,N/A,3,10,N/A,N/A,6,N/A,11,N/A,N/A,10,N/A,11,4
719,3,5,N/A,8,N/A,N/A,N/A,N/A,5,N/A,N/A,6,N/A,10,N/A,N/A,6,N/A,N/A,4
720,3,7,N/A,9,N/A,N/A,N/A,4,N/A,N/A,N/A,5,11,12,N/A,N/A,6,N/A,N/A,4
721,3,7,N/A,10,11,N/A,N/A,6,9,N/A,N/A,5,11,4,N/A,N/A,6,N/A,N/A,4
722,3,N/A,N/A,11,6,N/A,N/A,1,N/A,N/A,N/A,7,N/A,9,N/A,N/A,6,N/A,N/A,4
723,5,N/A,N/A,12,8,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,8,N/A,N/A,4
724,3,7,9,N/A,N/A,N/A,1,7,N/A,N/A,N/A,6,11,8,N/A,N/A,8,N/A,2,4
725,3,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,8,10,N/A,N/A,6,N/A,N/A,4
726,3,7,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,6,5,10,N/A,N/A,6,N/A,N/A,4
727,3,5,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,7,4,5,N/A,N/A,6,N/A,5,4
728,3,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,10,N/A,N/A,6,N/A,N/A,4
729,5,7,N/A,N/A,9,N/A,6,7,N/A,N/A,N/A,6,9,7,N/A,N/A,8,N/A,N/A,4
730,N/A,N/A,9,7,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,N/A,4
731,N/A,N/A,N/A,8,5,N/A,N/A,N/A,N/A,N/A,N/A,6,9,4,N/A,N/A,6,N/A,N/A,4
732,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,8,3,N/A,N/A,6,N/A,N/A,4
733,N/A,5,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,6,5,N/A,N/A,7,N/A,N/A,4
734,N/A,5,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,5,N/A,3,N/A,N/A,6,N/A,11,4
735,N/A,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,8,11,N/A,N/A,6,N/A,N/A,4
736,N/A,5,N/A,1,N/A,N/A,N/A,2,N/A,N/A,N/A,6,10,11,N/A,N/A,6,N/A,N/A,4
737,N/A,5,N/A,2,6,N/A,N/A,2,3,N/A,N/A,7,N/A,7,N/A,N/A,6,N/A,N/A,4
738,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,6,4,10,N/A,N/A,8,N/A,N/A,4
739,N/A,N/A,3,4,10,N/A,N/A,4,N/A,N/A,N/A,8,8,6,N/A,N/A,6,N/A,8,4
740,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,11,10,N/A,N/A,6,N/A,N/A,4
741,N/A,5,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,6,4,10,N/A,N/A,11,N/A,6,4
742,N/A,7,N/A,7,N/A,N/A,N/A,4,N/A,N/A,N/A,5,11,7,N/A,N/A,6,N/A,N/A,4
743,N/A,7,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,12,N/A,N/A,6,N/A,N/A,4
744,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,6,1,11,N/A,N/A,10,N/A,N/A,4
745,N/A,5,N/A,10,7,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,6,N/A,N/A,9,N/A,N/A,4
746,N/A,N/A,N/A,N/A,9,N/A,11,N/A,N/A,N/A,N/A,6,8,7,N/A,N/A,8,N/A,6,4
747,N/A,N/A,6,N/A,9,N/A,12,N/A,1,N/A,N/A,5,5,12,N/A,N/A,8,N/A,2,4
748,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,10,N/A,N/A,7,N/A,N/A,4
749,N/A,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,9,N/A,N/A,6,N/A,N/A,4
750,N/A,5,N/A,3,N/A,N/A,N/A,5,N/A,N/A,N/A,5,8,7,N/A,N/A,6,N/A,N/A,4
751,N/A,5,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,6,1,2,N/A,N/A,5,N/A,N/A,4
752,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,6,4,N/A,N/A,6,N/A,N/A,4
753,N/A,7,N/A,6,10,N/A,N/A,N/A,N/A,N/A,N/A,5,1,8,N/A,N/A,6,N/A,N/A,4
754,N/A,N/A,N/A,7,11,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,4,N/A,N/A,11,N/A,N/A,4
755,N/A,N/A,N/A,N/A,11,N/A,8,N/A,N/A,N/A,N/A,5,N/A,10,N/A,N/A,11,N/A,N/A,4
756,N/A,7,N/A,9,N/A,N/A,N/A,10,N/A,N/A,N/A,5,N/A,6,N/A,N/A,6,N/A,N/A,4
757,N/A,5,6,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,11,N/A,N/A,6,N/A,11,4
758,N/A,7,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,6,2,11,N/A,N/A,6,N/A,N/A,4
759,N/A,7,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,12,N/A,N/A,6,N/A,N/A,4
760,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,11,N/A,N/A,6,N/A,9,4
761,N/A,7,N/A,2,9,N/A,N/A,2,N/A,N/A,N/A,7,10,11,N/A,N/A,6,N/A,12,4
762,N/A,N/A,N/A,N/A,11,N/A,3,N/A,N/A,N/A,N/A,N/A,7,4,N/A,N/A,6,N/A,N/A,4
763,N/A,N/A,N/A,N/A,8,N/A,4,5,5,N/A,N/A,N/A,N/A,7,N/A,N/A,6,N/A,6,4
764,N/A,5,8,N/A,N/A,N/A,5,4,4,N/A,N/A,6,N/A,11,N/A,N/A,6,N/A,N/A,4
765,N/A,7,N/A,6,N/A,N/A,N/A,10,N/A,N/A,N/A,7,N/A,4,N/A,N/A,5,N/A,N/A,4
766,N/A,7,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,7,N/A,N/A,10,N/A,N/A,4
767,N/A,7,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,11,11,N/A,N/A,11,N/A,N/A,4
768,N/A,7,N/A,9,N/A,N/A,N/A,7,12,N/A,N/A,5,N/A,4,N/A,N/A,10,N/A,N/A,4
769,N/A,5,N/A,10,4,N/A,N/A,N/A,N/A,N/A,N/A,6,11,9,N/A,N/A,8,N/A,N/A,4
770,N/A,N/A,N/A,11,11,N/A,N/A,N/A,8,N/A,N/A,6,N/A,8,N/A,N/A,6,N/A,N/A,4
771,N/A,N/A,N/A,N/A,10,N/A,12,N/A,N/A,N/A,N/A,6,3,8,N/A,N/A,10,N/A,N/A,4
772,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,5,4,10,N/A,N/A,10,N/A,N/A,4
773,N/A,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,8,5,N/A,N/A,9,N/A,N/A,4
774,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,10,N/A,N/A,6,N/A,1,4
775,N/A,7,3,4,N/A,N/A,N/A,4,N/A,N/A,N/A,6,11,8,N/A,N/A,6,N/A,N/A,4
776,N/A,7,N/A,N/A,N/A,N/A,5,5,7,N/A,N/A,5,1,9,N/A,N/A,10,N/A,N/A,4
777,N/A,7,N/A,6,7,N/A,N/A,1,N/A,N/A,N/A,6,8,6,N/A,N/A,6,N/A,N/A,4
778,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,11,N/A,N/A,6,N/A,N/A,4
779,N/A,N/A,N/A,8,10,N/A,N/A,N/A,N/A,N/A,N/A,6,10,11,N/A,N/A,6,N/A,N/A,4
780,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,7,11,3,N/A,N/A,6,N/A,N/A,4
781,N/A,7,N/A,10,N/A,N/A,N/A,6,9,N/A,N/A,6,1,10,N/A,N/A,6,N/A,N/A,4
782,N/A,7,N/A,N/A,N/A,N/A,11,N/A,9,N/A,N/A,6,5,11,N/A,N/A,3,N/A,N/A,4
783,N/A,7,9,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,9,N/A,N/A,8,N/A,N/A,4
784,N/A,5,N/A,1,N/A,N/A,N/A,4,N/A,N/A,N/A,5,2,2,N/A,N/A,6,N/A,4,4
785,N/A,7,N/A,2,8,N/A,N/A,N/A,5,N/A,N/A,8,10,3,N/A,N/A,6,N/A,11,4
786,N/A,N/A,N/A,3,10,N/A,N/A,N/A,N/A,N/A,N/A,7,6,7,N/A,N/A,8,N/A,9,4
787,N/A,N/A,N/A,N/A,8,N/A,4,9,N/A,N/A,N/A,8,10,4,N/A,N/A,9,N/A,N/A,4
788,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,9,8,N/A,N/A,6,N/A,N/A,4
789,N/A,7,6,N/A,N/A,N/A,6,2,N/A,N/A,N/A,5,4,7,N/A,N/A,6,N/A,N/A,4
790,N/A,5,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,7,12,N/A,N/A,6,N/A,N/A,4
791,N/A,7,N/A,8,N/A,N/A,N/A,6,N/A,N/A,N/A,6,9,12,N/A,N/A,6,N/A,4,4
792,N/A,7,N/A,N/A,N/A,N/A,9,N/A,7,N/A,N/A,8,N/A,11,N/A,N/A,7,N/A,N/A,4
793,N/A,7,N/A,10,7,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,6,N/A,10,4
794,N/A,N/A,N/A,N/A,10,N/A,11,N/A,N/A,N/A,N/A,7,6,6,N/A,N/A,6,N/A,8,4
795,N/A,N/A,3,12,5,N/A,N/A,N/A,N/A,N/A,N/A,5,11,12,N/A,N/A,10,N/A,10,4
796,N/A,5,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,4,8,6,N/A,N/A,11,N/A,N/A,4
797,N/A,5,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,5,6,10,N/A,N/A,6,N/A,N/A,4
798,N/A,5,N/A,3,N/A,N/A,N/A,8,N/A,N/A,N/A,5,6,8,N/A,N/A,6,N/A,N/A,4
799,N/A,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,11,N/A,N/A,6,N/A,N/A,4
800,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,6,2,7,N/A,N/A,8,N/A,N/A,4
801,N/A,5,7,6,10,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,11,N/A,N/A,11,N/A,12,4
802,N/A,N/A,N/A,7,4,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,7,N/A,N/A,6,N/A,N/A,4
803,N/A,N/A,N/A,N/A,9,N/A,8,3,10,N/A,N/A,6,11,10,N/A,N/A,10,N/A,9,4
804,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,5,N/A,6,N/A,N/A,6,N/A,N/A,4
805,N/A,5,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,10,N/A,N/A,6,N/A,N/A,4
806,N/A,5,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,11,N/A,N/A,6,N/A,N/A,4
807,N/A,5,4,12,N/A,N/A,N/A,1,N/A,N/A,N/A,8,9,8,N/A,N/A,6,N/A,N/A,4
808,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,5,N/A,7,N/A,N/A,6,N/A,5,4
809,N/A,5,N/A,2,11,N/A,N/A,5,N/A,N/A,N/A,5,3,10,N/A,N/A,6,N/A,12,4
810,N/A,N/A,N/A,3,8,N/A,N/A,N/A,N/A,N/A,N/A,6,8,11,N/A,N/A,8,N/A,2,4
811,N/A,N/A,N/A,N/A,7,N/A,4,N/A,N/A,N/A,N/A,5,7,4,N/A,N/A,6,N/A,N/A,4
812,N/A,7,N/A,5,N/A,N/A,N/A,4,N/A,N/A,N/A,6,N/A,12,N/A,N/A,6,N/A,N/A,4
813,N/A,7,N/A,N/A,N/A,N/A,6,6,N/A,N/A,N/A,5,9,8,N/A,N/A,6,N/A,11,4
814,N/A,5,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,6,3,N/A,N/A,6,N/A,N/A,4
815,N/A,7,N/A,8,N/A,N/A,N/A,10,4,N/A,N/A,6,2,2,N/A,N/A,6,N/A,N/A,4
816,N/A,5,6,9,N/A,N/A,N/A,3,N/A,N/A,N/A,4,10,10,N/A,N/A,6,N/A,N/A,4
817,N/A,5,N/A,N/A,9,N/A,10,N/A,N/A,N/A,N/A,6,6,11,N/A,N/A,4,N/A,6,4
818,N/A,N/A,N/A,N/A,6,N/A,11,N/A,N/A,N/A,N/A,5,9,6,N/A,N/A,6,N/A,N/A,4
819,N/A,N/A,N/A,N/A,11,N/A,12,N/A,N/A,N/A,N/A,6,N/A,10,N/A,N/A,10,N/A,N/A,4
820,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,7,N/A,N/A,6,N/A,N/A,4
821,N/A,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,4,8,N/A,N/A,6,N/A,N/A,4
822,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,7,N/A,N/A,6,N/A,9,4
823,N/A,7,N/A,4,N/A,N/A,N/A,N/A,1,N/A,N/A,5,10,11,N/A,N/A,6,N/A,N/A,4
824,N/A,7,6,5,N/A,N/A,N/A,5,3,N/A,N/A,6,8,9,N/A,N/A,6,N/A,N/A,4
825,N/A,5,N/A,6,11,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,12,N/A,N/A,6,N/A,N/A,4
826,N/A,N/A,N/A,7,11,N/A,N/A,N/A,N/A,N/A,N/A,5,8,11,N/A,N/A,6,N/A,N/A,4
827,N/A,N/A,N/A,N/A,9,N/A,8,N/A,N/A,N/A,N/A,6,N/A,6,N/A,N/A,6,N/A,N/A,4
828,N/A,7,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,11,7,N/A,N/A,9,N/A,N/A,4
829,N/A,7,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,11,N/A,N/A,6,N/A,N/A,4
830,N/A,5,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,11,12,N/A,N/A,6,N/A,N/A,4
831,N/A,7,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,3,N/A,N/A,6,N/A,5,4
832,N/A,5,N/A,N/A,N/A,N/A,1,6,N/A,N/A,N/A,6,3,2,N/A,N/A,6,N/A,N/A,4
833,N/A,5,N/A,2,10,N/A,N/A,N/A,N/A,N/A,N/A,6,8,11,N/A,N/A,6,N/A,N/A,4
834,N/A,N/A,N/A,3,8,N/A,N/A,8,N/A,N/A,N/A,6,8,12,N/A,N/A,6,N/A,N/A,4
835,N/A,N/A,N/A,4,10,N/A,N/A,N/A,N/A,N/A,N/A,5,2,9,N/A,N/A,10,N/A,N/A,4
836,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,8,11,2,N/A,N/A,6,N/A,3,4
837,N/A,7,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,7,10,N/A,N/A,6,N/A,5,4
838,N/A,7,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,5,11,11,N/A,N/A,3,N/A,6,4
839,N/A,5,6,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,10,N/A,N/A,6,N/A,10,4
840,N/A,7,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,6,N/A,6,N/A,N/A,6,N/A,N/A,4
841,N/A,5,N/A,N/A,8,N/A,10,2,N/A,N/A,N/A,5,N/A,6,N/A,N/A,11,N/A,N/A,4
842,N/A,N/A,N/A,11,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,7,N/A,N/A,6,N/A,N/A,4
843,N/A,N/A,N/A,12,8,N/A,N/A,N/A,N/A,N/A,N/A,6,11,10,N/A,N/A,7,N/A,N/A,4
844,N/A,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,9,N/A,N/A,10,N/A,N/A,4
845,N/A,5,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,8,8,N/A,N/A,6,N/A,N/A,4
846,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,8,N/A,N/A,11,N/A,N/A,4
847,N/A,5,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,6,N/A,2,N/A,N/A,5,N/A,N/A,4
848,N/A,5,N/A,5,N/A,N/A,N/A,2,N/A,N/A,N/A,6,1,8,N/A,N/A,6,N/A,N/A,4
849,N/A,5,N/A,6,8,N/A,N/A,4,N/A,N/A,N/A,6,7,11,N/A,N/A,6,N/A,N/A,4
850,N/A,N/A,N/A,7,11,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,7,N/A,N/A,6,N/A,4,4
851,N/A,N/A,N/A,N/A,9,N/A,8,N/A,N/A,N/A,N/A,7,N/A,7,N/A,N/A,6,N/A,2,4
852,N/A,7,N/A,N/A,N/A,N/A,9,3,2,N/A,N/A,6,N/A,2,N/A,N/A,6,N/A,N/A,4
853,N/A,7,4,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,11,N/A,N/A,5,N/A,3,4
854,N/A,7,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,6,10,12,N/A,N/A,6,N/A,N/A,4
855,N/A,7,N/A,N/A,N/A,N/A,12,9,N/A,N/A,N/A,6,11,10,N/A,N/A,6,N/A,N/A,4
856,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,6,N/A,11,N/A,N/A,6,N/A,6,4
857,N/A,5,N/A,2,8,N/A,N/A,3,N/A,N/A,N/A,7,9,10,N/A,N/A,6,N/A,N/A,4
858,N/A,N/A,N/A,N/A,10,N/A,3,N/A,N/A,N/A,N/A,5,4,10,N/A,N/A,6,N/A,N/A,4
859,N/A,N/A,6,N/A,6,N/A,4,N/A,2,N/A,N/A,6,N/A,9,N/A,N/A,6,N/A,N/A,4
860,N/A,5,N/A,5,N/A,N/A,N/A,2,N/A,N/A,N/A,6,8,7,N/A,N/A,6,N/A,N/A,4
861,N/A,7,N/A,6,N/A,N/A,N/A,1,N/A,N/A,N/A,5,4,11,N/A,N/A,6,N/A,N/A,4
862,N/A,7,N/A,7,N/A,N/A,N/A,2,N/A,N/A,N/A,5,6,11,N/A,N/A,8,N/A,N/A,4
863,N/A,5,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,11,12,N/A,N/A,6,N/A,N/A,4
864,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,6,8,3,N/A,N/A,6,N/A,N/A,4
865,N/A,5,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,4,N/A,N/A,6,N/A,7,4
866,N/A,N/A,N/A,11,5,N/A,N/A,3,N/A,N/A,N/A,6,4,10,N/A,N/A,6,N/A,2,4
867,N/A,N/A,N/A,12,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,6,N/A,N/A,4
868,N/A,7,4,1,N/A,12,N/A,N/A,N/A,N/A,N/A,7,N/A,10,N/A,N/A,6,N/A,3,4
869,N/A,5,N/A,2,N/A,4,N/A,N/A,N/A,N/A,N/A,4,N/A,11,N/A,N/A,10,N/A,N/A,4
870,N/A,7,N/A,3,N/A,4,N/A,N/A,N/A,N/A,N/A,6,4,8,N/A,N/A,7,N/A,N/A,4
871,N/A,7,N/A,4,N/A,4,N/A,5,N/A,N/A,N/A,5,1,5,N/A,N/A,6,N/A,N/A,4
872,N/A,7,N/A,5,N/A,12,N/A,4,N/A,N/A,N/A,5,11,4,N/A,N/A,10,N/A,N/A,4
873,N/A,5,N/A,N/A,10,4,6,1,N/A,N/A,N/A,6,5,8,N/A,N/A,6,N/A,N/A,4
874,N/A,N/A,1,7,10,4,N/A,N/A,N/A,N/A,N/A,5,3,7,N/A,N/A,6,N/A,11,4
875,N/A,N/A,N/A,8,11,12,N/A,N/A,N/A,N/A,N/A,6,9,11,N/A,N/A,6,N/A,N/A,4
876,N/A,7,N/A,9,N/A,4,N/A,7,5,N/A,N/A,7,N/A,10,N/A,N/A,6,N/A,7,4
877,N/A,7,N/A,10,N/A,12,N/A,N/A,N/A,N/A,N/A,5,N/A,9,N/A,N/A,6,N/A,N/A,4
878,N/A,5,N/A,11,N/A,12,N/A,6,N/A,N/A,N/A,6,N/A,11,N/A,N/A,6,N/A,6,4
879,N/A,5,N/A,12,N/A,12,N/A,N/A,N/A,N/A,N/A,6,8,11,N/A,N/A,5,N/A,N/A,4
880,N/A,5,N/A,1,N/A,12,N/A,3,N/A,N/A,N/A,6,4,8,N/A,N/A,6,N/A,N/A,4
881,N/A,5,N/A,2,9,12,N/A,2,N/A,N/A,N/A,6,N/A,8,N/A,N/A,6,N/A,2,4
882,N/A,N/A,3,3,9,12,N/A,7,N/A,N/A,N/A,4,N/A,10,N/A,N/A,6,N/A,1,4
883,N/A,N/A,N/A,4,10,12,N/A,N/A,N/A,N/A,N/A,5,7,12,N/A,N/A,6,N/A,N/A,4
884,N/A,5,N/A,5,N/A,12,N/A,N/A,2,N/A,N/A,6,9,11,N/A,N/A,6,N/A,4,4
885,N/A,7,N/A,N/A,N/A,12,6,N/A,N/A,N/A,N/A,7,N/A,6,N/A,N/A,6,N/A,10,4
886,N/A,7,N/A,7,N/A,12,N/A,5,N/A,N/A,N/A,6,8,10,N/A,N/A,6,N/A,N/A,4
887,N/A,7,N/A,N/A,N/A,12,8,1,N/A,N/A,N/A,5,11,2,N/A,N/A,6,N/A,N/A,4
888,N/A,5,N/A,N/A,N/A,4,9,4,N/A,N/A,N/A,6,1,8,N/A,N/A,6,N/A,3,4
889,N/A,5,11,N/A,8,4,10,N/A,N/A,N/A,N/A,7,2,9,N/A,N/A,6,N/A,1,4
890,N/A,N/A,N/A,N/A,11,12,11,3,N/A,N/A,N/A,N/A,11,10,N/A,N/A,10,N/A,9,4
891,N/A,N/A,N/A,12,11,12,N/A,N/A,N/A,N/A,N/A,6,10,3,N/A,N/A,11,N/A,N/A,4
892,N/A,5,N/A,1,N/A,4,N/A,N/A,5,N/A,N/A,5,N/A,10,N/A,N/A,6,N/A,N/A,4
893,N/A,7,N/A,2,N/A,12,N/A,N/A,N/A,N/A,N/A,7,9,10,N/A,N/A,6,N/A,N/A,4
894,N/A,7,N/A,3,N/A,4,N/A,N/A,N/A,N/A,N/A,6,6,7,N/A,N/A,11,N/A,N/A,4
895,N/A,5,N/A,4,N/A,12,N/A,N/A,N/A,N/A,N/A,7,9,10,N/A,N/A,10,N/A,N/A,4
896,N/A,5,N/A,5,N/A,4,N/A,N/A,5,N/A,N/A,5,1,12,N/A,N/A,5,N/A,N/A,4
897,N/A,5,1,N/A,9,12,6,N/A,N/A,N/A,N/A,6,3,9,N/A,N/A,6,N/A,N/A,4
898,N/A,N/A,N/A,7,11,12,N/A,N/A,N/A,N/A,N/A,6,3,11,N/A,N/A,6,N/A,N/A,4
899,N/A,N/A,N/A,N/A,9,12,8,N/A,N/A,N/A,N/A,6,N/A,7,N/A,N/A,6,N/A,N/A,4
900,N/A,5,N/A,9,N/A,12,N/A,N/A,N/A,N/A,N/A,4,10,9,N/A,N/A,9,N/A,N/A,4
901,N/A,5,N/A,N/A,N/A,4,10,7,7,N/A,N/A,6,1,11,N/A,N/A,6,N/A,N/A,4
902,N/A,5,N/A,11,N/A,4,N/A,N/A,N/A,N/A,N/A,5,N/A,12,N/A,N/A,5,N/A,3,4
903,N/A,7,N/A,12,N/A,4,N/A,N/A,N/A,N/A,N/A,5,11,6,N/A,N/A,6,N/A,N/A,4
904,N/A,5,N/A,N/A,N/A,12,1,N/A,N/A,N/A,N/A,5,N/A,9,N/A,N/A,11,N/A,N/A,4
905,N/A,5,N/A,2,10,12,N/A,5,N/A,N/A,N/A,6,4,5,N/A,N/A,6,N/A,N/A,4
906,N/A,N/A,N/A,3,9,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,10,N/A,N/A,4
907,N/A,N/A,N/A,N/A,9,12,4,N/A,N/A,N/A,N/A,6,10,11,N/A,N/A,6,N/A,N/A,4
908,N/A,5,N/A,5,N/A,4,N/A,3,N/A,N/A,N/A,6,N/A,12,N/A,N/A,6,N/A,N/A,4
909,N/A,5,N/A,6,N/A,4,N/A,N/A,N/A,N/A,N/A,8,1,11,N/A,N/A,6,N/A,N/A,4
910,N/A,7,N/A,7,N/A,N/A,N/A,5,N/A,N/A,6,7,9,10,N/A,N/A,6,N/A,N/A,4
911,N/A,5,4,N/A,N/A,N/A,8,N/A,N/A,N/A,6,5,N/A,3,N/A,N/A,8,N/A,N/A,4
912,N/A,7,N/A,N/A,N/A,N/A,9,4,8,N/A,6,6,N/A,7,N/A,N/A,6,N/A,9,4
913,N/A,7,N/A,10,11,N/A,N/A,N/A,5,N/A,6,5,4,4,N/A,N/A,6,N/A,N/A,4
914,N/A,N/A,N/A,11,8,N/A,N/A,N/A,N/A,N/A,6,5,3,6,N/A,N/A,6,N/A,N/A,4
915,N/A,N/A,N/A,12,8,N/A,N/A,N/A,N/A,N/A,6,6,N/A,11,N/A,N/A,6,N/A,N/A,4
